Name	Media	Release date	Timeline and year	Watch status	Year	Notes	Wikipedia URL
Mobile Suit Gundam: The Witch from Mercury	TV series: 24 episodes	2022-2023	Ad Stella (AS) 122				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam:_The_Witch_from_Mercury
Gundam Build Metaverse	ONA: 3 episodes	2023	Our Century				https://en.wikipedia.org/wiki/Gundam_Build_Metaverse
Mobile Suit Gundam SEED Freedom	Movie	2024	Cosmic Era (CE) 75				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_SEED_Freedom
Mobile Suit Gundam: Silver Phantom	VR movie	2024	Universal Century (UC) 0096				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam:_Silver_Phantom
Gundam: Requiem for Vengeance	ONA: 6 episodes	2024	Universal Century (UC) 0079				https://en.wikipedia.org/wiki/Gundam:_Requiem_for_Vengeance
Mobile Suit Gundam GQuuuuuuX	Compilation movie	2025	Alternate version of Universal Century (UC) 0079, 0085				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_GQuuuuuuX
Mobile Suit Gundam GQuuuuuuX	TV series: 12 episodes	2025	Alternate version of Universal Century (UC) 0079, 0085				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam_GQuuuuuuX
Mobile Suit Gundam: Iron-Blooded Orphans Urdr-Hunt - Path of the Little Challenger	Compilation movie	2025	Post Disaster (PD) 323				https://en.wikipedia.org/wiki/Mobile_Suit_Gundam:_Iron-Blooded_Orphans_Urdr-Hunt
Mobile Suit Gundam SEED Freedom Zero	TBA	TBA	Cosmic Era (CE) 74				https://en.wikipedia.org/wiki/Gundam
Gundam	Live-action movie	TBA	TBA				https://en.wikipedia.org/wiki/Gundam_(film)
